funder;fos;university;year;funding
EU;Andere Naturwissenschaften;Medizinische Universität Innsbruck;2016;62744
EU;Andere Naturwissenschaften;Universität Salzburg;2016;85718
EU;Andere Naturwissenschaften;Technische Universität Wien;2018;177814
EU;Andere Naturwissenschaften;Technische Universität Wien;2017;292617
EU;Andere Naturwissenschaften;Technische Universität Wien;2016;628502
EU;Andere Naturwissenschaften;Technische Universität Graz;2018;153088
EU;Andere Naturwissenschaften;Technische Universität Graz;2017;51303
EU;Andere Naturwissenschaften;Technische Universität Graz;2016;179706
EU;Andere Naturwissenschaften;Montanuniversität Leoben;2018;25224
EU;Andere Naturwissenschaften;Universität für Bodenkultur Wien;2018;348182
EU;Andere Naturwissenschaften;Universität für Bodenkultur Wien;2017;480344
EU;Andere Naturwissenschaften;Universität für Bodenkultur Wien;2016;816480
EU;Andere Naturwissenschaften;Universität Linz;2018;174942
EU;Andere Naturwissenschaften;Universität Klagenfurt;2018;147250
EU;Andere Naturwissenschaften;Universität Klagenfurt;2017;97271
EU;Andere Naturwissenschaften;Universität Klagenfurt;2016;143887
EU;Andere Naturwissenschaften;Universität für angewandte Kunst Wien;2018;91396
EU;Andere Naturwissenschaften;Universität für angewandte Kunst Wien;2017;125099
EU;Andere Naturwissenschaften;Universität für angewandte Kunst Wien;2016;100767
EU;Andere Naturwissenschaften;Universität für Weiterbildung Krems;2016;181165
EU;Andere Sozialwissenschaften;Universität Wien;2018;85024
EU;Andere Sozialwissenschaften;Universität Wien;2017;54326
EU;Andere Sozialwissenschaften;Universität Wien;2016;36873
EU;Andere Sozialwissenschaften;Universität Salzburg;2018;399923
EU;Andere Sozialwissenschaften;Universität Salzburg;2017;356300
EU;Andere Sozialwissenschaften;Technische Universität Wien;2018;1515
EU;Andere Sozialwissenschaften;Technische Universität Wien;2017;46191
EU;Andere Sozialwissenschaften;Technische Universität Wien;2016;89891
EU;Andere Sozialwissenschaften;Technische Universität Graz;2016;29
EU;Andere Sozialwissenschaften;Universität für Bodenkultur Wien;2018;154982
EU;Andere Sozialwissenschaften;Universität für Bodenkultur Wien;2017;179593
EU;Andere Sozialwissenschaften;Universität für Bodenkultur Wien;2016;177752
EU;Andere Sozialwissenschaften;Wirtschaftsuniversität Wien;2016;1477
EU;Andere Sozialwissenschaften;Universität Klagenfurt;2016;9326
EU;Andere Sozialwissenschaften;Universität für Weiterbildung Krems;2018;18491
EU;Andere Sozialwissenschaften;Universität für Weiterbildung Krems;2017;25836
EU;Andere Sozialwissenschaften;Universität für Weiterbildung Krems;2016;184118
EU;Andere Technische Wissenschaften;Universität Wien;2018;58497
EU;Andere Technische Wissenschaften;Universität Wien;2017;6801
EU;Andere Technische Wissenschaften;Universität Wien;2016;58962
EU;Andere Technische Wissenschaften;Medizinische Universität Graz;2016;17951
EU;Andere Technische Wissenschaften;Medizinische Universität Innsbruck;2018;4171
EU;Andere Technische Wissenschaften;Medizinische Universität Innsbruck;2017;8445
EU;Andere Technische Wissenschaften;Medizinische Universität Innsbruck;2016;1347
EU;Andere Technische Wissenschaften;Universität Salzburg;2016;113044
EU;Andere Technische Wissenschaften;Technische Universität Wien;2018;676738
EU;Andere Technische Wissenschaften;Technische Universität Wien;2017;838059
EU;Andere Technische Wissenschaften;Technische Universität Wien;2016;1041386
EU;Andere Technische Wissenschaften;Technische Universität Graz;2018;198904
EU;Andere Technische Wissenschaften;Technische Universität Graz;2017;561447
EU;Andere Technische Wissenschaften;Technische Universität Graz;2016;1073617
EU;Andere Technische Wissenschaften;Montanuniversität Leoben;2018;1221545
EU;Andere Technische Wissenschaften;Montanuniversität Leoben;2017;997183
EU;Andere Technische Wissenschaften;Montanuniversität Leoben;2016;965694
EU;Andere Technische Wissenschaften;Universität für Bodenkultur Wien;2018;278773
EU;Andere Technische Wissenschaften;Universität für Bodenkultur Wien;2017;477156
EU;Andere Technische Wissenschaften;Universität für Bodenkultur Wien;2016;457593
EU;Andere Technische Wissenschaften;Universität Klagenfurt;2016;18652
EU;Andere Technische Wissenschaften;Universität für Weiterbildung Krems;2018;6766
EU;Andere Technische Wissenschaften;Universität für Weiterbildung Krems;2016;15178
EU;Architektur;Universität für angewandte Kunst Wien;2018;114358
EU;Architektur;Universität für angewandte Kunst Wien;2017;125539
EU;Architektur;Universität für angewandte Kunst Wien;2016;267235
EU;Architektur;Universität für Weiterbildung Krems;2018;34238
EU;Architektur;Universität für Weiterbildung Krems;2017;12621
EU;Architektur;Universität für Weiterbildung Krems;2016;7854
EU;Bauwesen;Universität Innsbruck;2018;573863
EU;Bauwesen;Universität Innsbruck;2017;553731
EU;Bauwesen;Universität Innsbruck;2016;425847
EU;Bauwesen;Technische Universität Wien;2018;515134
EU;Bauwesen;Technische Universität Wien;2017;703050
EU;Bauwesen;Technische Universität Wien;2016;534964
EU;Bauwesen;Technische Universität Graz;2018;234245
EU;Bauwesen;Technische Universität Graz;2017;130871
EU;Bauwesen;Technische Universität Graz;2016;353233
EU;Bauwesen;Montanuniversität Leoben;2018;111753
EU;Bauwesen;Montanuniversität Leoben;2017;108129
EU;Bauwesen;Montanuniversität Leoben;2016;152018
EU;Bauwesen;Universität für Bodenkultur Wien;2018;410810
EU;Bauwesen;Universität für Bodenkultur Wien;2017;444087
EU;Bauwesen;Universität für Bodenkultur Wien;2016;3124241
EU;Bauwesen;Universität für Weiterbildung Krems;2018;31711
EU;Bauwesen;Universität für Weiterbildung Krems;2017;10210
EU;Bauwesen;Universität für Weiterbildung Krems;2016;7854
EU;Bildende Kunst;Universität für angewandte Kunst Wien;2018;260327
EU;Biologie;Universität Wien;2018;2788873
EU;Biologie;Universität Wien;2017;3058181
EU;Biologie;Universität Wien;2016;3523516
EU;Biologie;Universität Graz;2018;1189729
EU;Biologie;Universität Graz;2017;981346
EU;Biologie;Universität Graz;2016;1151419
EU;Biologie;Universität Innsbruck;2018;865894
EU;Biologie;Universität Innsbruck;2017;711024
EU;Biologie;Universität Innsbruck;2016;692663
EU;Biologie;Medizinische Universität Graz;2018;208936
EU;Biologie;Medizinische Universität Graz;2017;252601
EU;Biologie;Medizinische Universität Graz;2016;256459
EU;Biologie;Medizinische Universität Innsbruck;2018;414513
EU;Biologie;Medizinische Universität Innsbruck;2017;142218
EU;Biologie;Medizinische Universität Innsbruck;2016;90829
EU;Biologie;Universität Salzburg;2018;440355
EU;Biologie;Universität Salzburg;2017;119816
EU;Biologie;Universität Salzburg;2016;400929
EU;Biologie;Technische Universität Wien;2018;123494
EU;Biologie;Technische Universität Wien;2017;35308
EU;Biologie;Technische Universität Wien;2016;59812
EU;Biologie;Technische Universität Graz;2018;10456
EU;Biologie;Technische Universität Graz;2017;32892
EU;Biologie;Technische Universität Graz;2016;186809
EU;Biologie;Universität für Bodenkultur Wien;2018;1240183
EU;Biologie;Universität für Bodenkultur Wien;2017;551153
EU;Biologie;Universität für Bodenkultur Wien;2016;1388861
EU;Biologie;Veterinärmedizinische Universität Wien;2018;350724
EU;Biologie;Veterinärmedizinische Universität Wien;2016;273312
EU;Biologie;Universität Klagenfurt;2017;28816
EU;Biologie;Universität Klagenfurt;2016;63228
EU;Biologie;Universität für Weiterbildung Krems;2016;41002
EU;Chemie;Universität Wien;2018;1072662
EU;Chemie;Universität Wien;2017;1235526
EU;Chemie;Universität Wien;2016;1508266
EU;Chemie;Universität Graz;2018;425094
EU;Chemie;Universität Graz;2017;229132
EU;Chemie;Universität Graz;2016;75031
EU;Chemie;Universität Innsbruck;2018;1033047
EU;Chemie;Universität Innsbruck;2017;412765
EU;Chemie;Universität Innsbruck;2016;243388
EU;Chemie;Medizinische Universität Graz;2018;970
EU;Chemie;Medizinische Universität Innsbruck;2018;4171
EU;Chemie;Medizinische Universität Innsbruck;2017;8445
EU;Chemie;Medizinische Universität Innsbruck;2016;1347
EU;Chemie;Universität Salzburg;2016;60999
EU;Chemie;Technische Universität Wien;2018;1166364
EU;Chemie;Technische Universität Wien;2017;330404
EU;Chemie;Technische Universität Wien;2016;542894
EU;Chemie;Technische Universität Graz;2018;2682185
EU;Chemie;Technische Universität Graz;2017;1899538
EU;Chemie;Technische Universität Graz;2016;1829233
EU;Chemie;Montanuniversität Leoben;2018;29129
EU;Chemie;Montanuniversität Leoben;2016;44613
EU;Chemie;Universität für Bodenkultur Wien;2018;556283
EU;Chemie;Universität für Bodenkultur Wien;2017;297257
EU;Chemie;Universität für Bodenkultur Wien;2016;980667
EU;Chemie;Universität Linz;2017;1700
EU;Chemie;Universität Linz;2016;100290
EU;Chemie;Universität für Weiterbildung Krems;2018;12921
EU;Chemie;Universität für Weiterbildung Krems;2017;9538
EU;Chemie;Universität für Weiterbildung Krems;2016;35643
EU;Chemische Verfahrenstechnik;Technische Universität Wien;2018;193311
EU;Chemische Verfahrenstechnik;Technische Universität Wien;2017;79989
EU;Chemische Verfahrenstechnik;Technische Universität Wien;2016;146343
EU;Chemische Verfahrenstechnik;Technische Universität Graz;2016;11199
EU;Chemische Verfahrenstechnik;Montanuniversität Leoben;2018;95062
EU;Chemische Verfahrenstechnik;Montanuniversität Leoben;2017;41700
EU;Chemische Verfahrenstechnik;Universität für Bodenkultur Wien;2018;31417
EU;Chemische Verfahrenstechnik;Universität für Bodenkultur Wien;2017;38168
EU;Chemische Verfahrenstechnik;Universität für Bodenkultur Wien;2016;75967
EU;Chemische Verfahrenstechnik;Universität Linz;2018;29184
EU;Chemische Verfahrenstechnik;Universität Linz;2017;112444
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität Wien;2018;85730
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität Wien;2017;90228
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität Wien;2016;86632
EU;Elektrotechnik, Elektronik, Informationstechnik;Medizinische Universität Graz;2018;26708
EU;Elektrotechnik, Elektronik, Informationstechnik;Medizinische Universität Graz;2017;52334
EU;Elektrotechnik, Elektronik, Informationstechnik;Medizinische Universität Graz;2016;44756
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität Salzburg;2016;12770
EU;Elektrotechnik, Elektronik, Informationstechnik;Technische Universität Wien;2018;3457617
EU;Elektrotechnik, Elektronik, Informationstechnik;Technische Universität Wien;2017;3401816
EU;Elektrotechnik, Elektronik, Informationstechnik;Technische Universität Wien;2016;6266834
EU;Elektrotechnik, Elektronik, Informationstechnik;Technische Universität Graz;2018;1412330
EU;Elektrotechnik, Elektronik, Informationstechnik;Technische Universität Graz;2017;727014
EU;Elektrotechnik, Elektronik, Informationstechnik;Technische Universität Graz;2016;303324
EU;Elektrotechnik, Elektronik, Informationstechnik;Montanuniversität Leoben;2018;32150
EU;Elektrotechnik, Elektronik, Informationstechnik;Montanuniversität Leoben;2017;12275
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität für Bodenkultur Wien;2018;45322
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität für Bodenkultur Wien;2017;20981
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität für Bodenkultur Wien;2016;70055
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität Linz;2018;204545
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität Linz;2017;572800
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität Linz;2016;83256
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität Klagenfurt;2018;119856
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität Klagenfurt;2017;80638
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität Klagenfurt;2016;56290
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität für Musik und darstellende Kunst Graz;2017;1438
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität für Musik und darstellende Kunst Graz;2016;2892
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität für Weiterbildung Krems;2018;40933
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität für Weiterbildung Krems;2017;38371
EU;Elektrotechnik, Elektronik, Informationstechnik;Universität für Weiterbildung Krems;2016;15231
EU;Erziehungswissenschaften;Universität Wien;2018;35469
EU;Erziehungswissenschaften;Universität Wien;2017;374303
EU;Erziehungswissenschaften;Universität Wien;2016;310941
EU;Erziehungswissenschaften;Universität Graz;2018;18096
EU;Erziehungswissenschaften;Universität Graz;2017;15569
EU;Erziehungswissenschaften;Universität Graz;2016;36886
EU;Erziehungswissenschaften;Universität Innsbruck;2018;315525
EU;Erziehungswissenschaften;Universität Innsbruck;2017;298000
EU;Erziehungswissenschaften;Universität Innsbruck;2016;258999
EU;Erziehungswissenschaften;Universität Salzburg;2017;57736
EU;Erziehungswissenschaften;Universität Salzburg;2016;95815
EU;Erziehungswissenschaften;Universität für Bodenkultur Wien;2018;39848
EU;Erziehungswissenschaften;Universität für Bodenkultur Wien;2017;33508
EU;Erziehungswissenschaften;Universität für Bodenkultur Wien;2016;44945
EU;Erziehungswissenschaften;Universität Linz;2018;22087
EU;Erziehungswissenschaften;Universität Linz;2017;60377
EU;Erziehungswissenschaften;Universität Klagenfurt;2018;67
EU;Erziehungswissenschaften;Universität Klagenfurt;2017;30279
EU;Erziehungswissenschaften;Universität Klagenfurt;2016;44846
EU;Erziehungswissenschaften;Universität für Weiterbildung Krems;2018;32127
EU;Erziehungswissenschaften;Universität für Weiterbildung Krems;2017;13946
EU;Erziehungswissenschaften;Universität für Weiterbildung Krems;2016;77382
EU;Geowissenschaften;Universität Wien;2018;495527
EU;Geowissenschaften;Universität Wien;2017;527204
EU;Geowissenschaften;Universität Wien;2016;405073
EU;Geowissenschaften;Universität Graz;2018;12237
EU;Geowissenschaften;Universität Graz;2016;19880
EU;Geowissenschaften;Universität Innsbruck;2018;577433
EU;Geowissenschaften;Universität Innsbruck;2017;262850
EU;Geowissenschaften;Universität Innsbruck;2016;19961
EU;Geowissenschaften;Universität Salzburg;2018;901276
EU;Geowissenschaften;Universität Salzburg;2017;479906
EU;Geowissenschaften;Universität Salzburg;2016;437798
EU;Geowissenschaften;Technische Universität Wien;2018;178722
EU;Geowissenschaften;Technische Universität Wien;2017;207841
EU;Geowissenschaften;Technische Universität Wien;2016;156139
EU;Geowissenschaften;Technische Universität Graz;2016;1508
EU;Geowissenschaften;Montanuniversität Leoben;2018;68735
EU;Geowissenschaften;Montanuniversität Leoben;2017;68731
EU;Geowissenschaften;Montanuniversität Leoben;2016;12085
EU;Geowissenschaften;Universität für Bodenkultur Wien;2018;747346
EU;Geowissenschaften;Universität für Bodenkultur Wien;2017;282141
EU;Geowissenschaften;Universität für Bodenkultur Wien;2016;1467346
EU;Geowissenschaften;Wirtschaftsuniversität Wien;2018;519619
EU;Geowissenschaften;Universität Klagenfurt;2018;35761
EU;Geowissenschaften;Universität Klagenfurt;2017;52418
EU;Geowissenschaften;Universität Klagenfurt;2016;120457
EU;Geschichte, Archäologie;Universität Wien;2018;144669
EU;Geschichte, Archäologie;Universität Wien;2017;169382
EU;Geschichte, Archäologie;Universität Wien;2016;196280
EU;Geschichte, Archäologie;Universität Graz;2018;118291
EU;Geschichte, Archäologie;Universität Graz;2017;141600
EU;Geschichte, Archäologie;Universität Graz;2016;134932
EU;Geschichte, Archäologie;Universität Innsbruck;2018;34276
EU;Geschichte, Archäologie;Universität Innsbruck;2017;6660
EU;Geschichte, Archäologie;Universität Innsbruck;2016;2340
EU;Geschichte, Archäologie;Universität Salzburg;2016;27863
EU;Geschichte, Archäologie;Universität für Bodenkultur Wien;2018;874
EU;Geschichte, Archäologie;Universität für Weiterbildung Krems;2018;39335
EU;Geschichte, Archäologie;Universität für Weiterbildung Krems;2017;14215
EU;Gesundheitswissenschaften;Universität Wien;2018;260988
EU;Gesundheitswissenschaften;Universität Wien;2017;143288
EU;Gesundheitswissenschaften;Universität Wien;2016;91364
EU;Gesundheitswissenschaften;Universität Innsbruck;2018;98549
EU;Gesundheitswissenschaften;Universität Innsbruck;2017;14513
EU;Gesundheitswissenschaften;Medizinische Universität Wien;2018;117426
EU;Gesundheitswissenschaften;Medizinische Universität Wien;2017;898650
EU;Gesundheitswissenschaften;Medizinische Universität Wien;2016;1258683
EU;Gesundheitswissenschaften;Medizinische Universität Graz;2018;114591
EU;Gesundheitswissenschaften;Medizinische Universität Graz;2017;88847
EU;Gesundheitswissenschaften;Medizinische Universität Graz;2016;59889
EU;Gesundheitswissenschaften;Medizinische Universität Innsbruck;2018;118780
EU;Gesundheitswissenschaften;Medizinische Universität Innsbruck;2017;107543
EU;Gesundheitswissenschaften;Medizinische Universität Innsbruck;2016;55222
EU;Gesundheitswissenschaften;Universität Salzburg;2018;5385
EU;Gesundheitswissenschaften;Universität Salzburg;2017;300531
EU;Gesundheitswissenschaften;Universität Salzburg;2016;64040
EU;Gesundheitswissenschaften;Universität für Bodenkultur Wien;2018;39128
EU;Gesundheitswissenschaften;Universität für Bodenkultur Wien;2017;120572
EU;Gesundheitswissenschaften;Universität für Bodenkultur Wien;2016;77604
EU;Gesundheitswissenschaften;Universität Klagenfurt;2018;106402
EU;Gesundheitswissenschaften;Universität für Weiterbildung Krems;2018;23303
EU;Gesundheitswissenschaften;Universität für Weiterbildung Krems;2017;17657
EU;Gesundheitswissenschaften;Universität für Weiterbildung Krems;2016;9233
EU;Humangeographie, Regionale Geographie, Raumplanung;Universität Wien;2018;198786
EU;Humangeographie, Regionale Geographie, Raumplanung;Universität Wien;2017;234389
EU;Humangeographie, Regionale Geographie, Raumplanung;Universität Wien;2016;90137
EU;Humangeographie, Regionale Geographie, Raumplanung;Universität Graz;2018;146186
EU;Humangeographie, Regionale Geographie, Raumplanung;Universität Salzburg;2016;17299
EU;Humangeographie, Regionale Geographie, Raumplanung;Technische Universität Wien;2018;111941
EU;Humangeographie, Regionale Geographie, Raumplanung;Technische Universität Wien;2017;85264
EU;Humangeographie, Regionale Geographie, Raumplanung;Technische Universität Wien;2016;22596
EU;Humangeographie, Regionale Geographie, Raumplanung;Universität für Bodenkultur Wien;2018;235066
EU;Humangeographie, Regionale Geographie, Raumplanung;Universität für Bodenkultur Wien;2017;60214
EU;Humangeographie, Regionale Geographie, Raumplanung;Universität für Bodenkultur Wien;2016;36381
EU;Humangeographie, Regionale Geographie, Raumplanung;Universität Klagenfurt;2018;34
EU;Humangeographie, Regionale Geographie, Raumplanung;Universität Klagenfurt;2017;3083
EU;Humangeographie, Regionale Geographie, Raumplanung;Universität für Weiterbildung Krems;2018;14935
EU;Humangeographie, Regionale Geographie, Raumplanung;Universität für Weiterbildung Krems;2017;7475
EU;Industrielle Biotechnologie;Universität Wien;2018;16012
EU;Industrielle Biotechnologie;Universität Wien;2017;24228
EU;Industrielle Biotechnologie;Universität Wien;2016;19835
EU;Industrielle Biotechnologie;Technische Universität Wien;2018;116517
EU;Industrielle Biotechnologie;Universität für Bodenkultur Wien;2018;208398
EU;Industrielle Biotechnologie;Universität für Bodenkultur Wien;2017;55366
EU;Industrielle Biotechnologie;Universität für Bodenkultur Wien;2016;151644
EU;Informatik;Universität Wien;2018;454803
EU;Informatik;Universität Wien;2017;324122
EU;Informatik;Universität Wien;2016;439127
EU;Informatik;Universität Innsbruck;2018;1133276
EU;Informatik;Universität Innsbruck;2017;1068682
EU;Informatik;Universität Innsbruck;2016;1234970
EU;Informatik;Medizinische Universität Graz;2018;127159
EU;Informatik;Medizinische Universität Graz;2017;170110
EU;Informatik;Medizinische Universität Graz;2016;205208
EU;Informatik;Medizinische Universität Innsbruck;2018;60220
EU;Informatik;Medizinische Universität Innsbruck;2017;107268
EU;Informatik;Medizinische Universität Innsbruck;2016;90829
EU;Informatik;Universität Salzburg;2018;118291
EU;Informatik;Universität Salzburg;2017;585081
EU;Informatik;Universität Salzburg;2016;663488
EU;Informatik;Technische Universität Wien;2018;1587218
EU;Informatik;Technische Universität Wien;2017;2574256
EU;Informatik;Technische Universität Wien;2016;2067204
EU;Informatik;Technische Universität Graz;2018;1823914
EU;Informatik;Technische Universität Graz;2017;1959342
EU;Informatik;Technische Universität Graz;2016;1826453
EU;Informatik;Montanuniversität Leoben;2018;66175
EU;Informatik;Montanuniversität Leoben;2017;34426
EU;Informatik;Montanuniversität Leoben;2016;54466
EU;Informatik;Universität für Bodenkultur Wien;2018;39023
EU;Informatik;Universität für Bodenkultur Wien;2017;13122
EU;Informatik;Universität für Bodenkultur Wien;2016;37901
EU;Informatik;Wirtschaftsuniversität Wien;2018;301295
EU;Informatik;Wirtschaftsuniversität Wien;2017;8361
EU;Informatik;Wirtschaftsuniversität Wien;2016;14124
EU;Informatik;Universität Linz;2018;820577
EU;Informatik;Universität Linz;2017;847214
EU;Informatik;Universität Linz;2016;500320
EU;Informatik;Universität Klagenfurt;2018;196662
EU;Informatik;Universität Klagenfurt;2017;150496
EU;Informatik;Universität Klagenfurt;2016;1091
EU;Informatik;Universität für Musik und darstellende Kunst Wien;2018;109640
EU;Informatik;Universität für Musik und darstellende Kunst Wien;2016;39860
EU;Informatik;Universität für Weiterbildung Krems;2018;45045
EU;Informatik;Universität für Weiterbildung Krems;2017;23276
EU;Informatik;Universität für Weiterbildung Krems;2016;63596
EU;Klinische Medizin;Universität Wien;2018;16991
EU;Klinische Medizin;Universität Wien;2017;22043
EU;Klinische Medizin;Universität Wien;2016;79816
EU;Klinische Medizin;Medizinische Universität Wien;2018;3923625
EU;Klinische Medizin;Medizinische Universität Wien;2017;3896756
EU;Klinische Medizin;Medizinische Universität Wien;2016;1755233
EU;Klinische Medizin;Medizinische Universität Graz;2018;967300
EU;Klinische Medizin;Medizinische Universität Graz;2017;484511
EU;Klinische Medizin;Medizinische Universität Graz;2016;658061
EU;Klinische Medizin;Medizinische Universität Innsbruck;2018;1192634
EU;Klinische Medizin;Medizinische Universität Innsbruck;2017;1522363
EU;Klinische Medizin;Medizinische Universität Innsbruck;2016;1211868
EU;Klinische Medizin;Universität Salzburg;2016;174215
EU;Klinische Medizin;Technische Universität Wien;2018;52801
EU;Klinische Medizin;Universität Linz;2018;24438
EU;Klinische Medizin;Universität für Weiterbildung Krems;2018;6919
EU;Klinische Medizin;Universität für Weiterbildung Krems;2017;7357
EU;Klinische Medizin;Universität für Weiterbildung Krems;2016;9233
EU;Konservierung und Restaurierung;Universität für Weiterbildung Krems;2018;21523
EU;Konservierung und Restaurierung;Universität für Weiterbildung Krems;2017;2655
EU;Konservierung und Restaurierung;Universität für Weiterbildung Krems;2016;10472
EU;Kunstwissenschaften;Universität Wien;2018;209695
EU;Kunstwissenschaften;Universität Wien;2017;2969
EU;Kunstwissenschaften;Universität Wien;2016;383
EU;Kunstwissenschaften;Universität Graz;2017;25250
EU;Kunstwissenschaften;Technische Universität Wien;2017;934
EU;Kunstwissenschaften;Technische Universität Wien;2016;2374
EU;Kunstwissenschaften;Universität für Bodenkultur Wien;2018;3022
EU;Kunstwissenschaften;Universität Klagenfurt;2018;35623
EU;Kunstwissenschaften;Universität Klagenfurt;2017;38322
EU;Kunstwissenschaften;Universität Klagenfurt;2016;45223
EU;Kunstwissenschaften;Universität für angewandte Kunst Wien;2016;11259
EU;Land- und Forstwirtschaft, Fischerei;Universität Wien;2018;14513
EU;Land- und Forstwirtschaft, Fischerei;Universität Wien;2017;5124
EU;Land- und Forstwirtschaft, Fischerei;Universität Wien;2016;1235
EU;Land- und Forstwirtschaft, Fischerei;Technische Universität Graz;2018;500
EU;Land- und Forstwirtschaft, Fischerei;Technische Universität Graz;2017;38129
EU;Land- und Forstwirtschaft, Fischerei;Technische Universität Graz;2016;27216
EU;Land- und Forstwirtschaft, Fischerei;Universität für Bodenkultur Wien;2018;937198
EU;Land- und Forstwirtschaft, Fischerei;Universität für Bodenkultur Wien;2017;515002
EU;Land- und Forstwirtschaft, Fischerei;Universität für Bodenkultur Wien;2016;1010335
EU;Maschinenbau;Universität Wien;2018;23307
EU;Maschinenbau;Universität Wien;2017;22559
EU;Maschinenbau;Universität Wien;2016;34476
